region,estado,comuna_nome,comuna,superficie,poblacion,densidad,,
9,Distrito Federal,Álvaro Obregón,2,96.17,749982,7798.5,,FALSE
9,Distrito Federal,Azcapotzalco,3,33.66,400161,11888.32,,FALSE
9,Distrito Federal,Benito Juárez,4,26.63,417416,15674.65,,FALSE
9,Distrito Federal,Coyoacán,5,54.4,608479,11185.28,,FALSE
9,Distrito Federal,Cuajimalpa de Morelos,6,74.58,199224,2671.28,,FALSE
9,Distrito Federal,Cuauhtémoc,7,32.4,532553,16436.82,,FALSE
9,Distrito Federal,Gustavo A. Madero,8,94.07,1164477,12378.83,,FALSE
9,Distrito Federal,Iztacalco,9,23.3,390348,16753.13,,FALSE
9,Distrito Federal,Iztapalapa,10,117,1827868,15622.8,,FALSE
9,Distrito Federal,Magdalena Contreras,11,74.58,243886,3270.13,,FALSE
9,Distrito Federal,Miguel Hidalgo,12,46.99,364439,7755.67,,FALSE
9,Distrito Federal,Milpa Alta,13,228.41,137927,603.86,,FALSE
9,Distrito Federal,Tláhuac,14,85.34,361593,4237.09,,FALSE
9,Distrito Federal,Tlalpan,15,340.07,677104,1991.07,,FALSE
9,Distrito Federal,Venustiano Carranza,16,33.4,427263,12792.31,,FALSE
9,Distrito Federal,Xochimilco,17,118,415933,3524.86,,FALSE
19,Monterrey,Abasolo,1,47.45,2639,55.62,,FALSE
19,Monterrey,Agualeguas,2,979,2439,2.49,,FALSE
19,Monterrey,Allende,3,697,34353,49.3,,FALSE
19,Monterrey,Anáhuac,4,191,18194,95.5,,FALSE
19,Monterrey,Apodaca,5,4573,597207,130.6,,FALSE
19,Monterrey,Aramberri,6,238,16152,67.86,,FALSE
19,Monterrey,Bustamante,7,2665,3977,1.49,,FALSE
19,Monterrey,Cadereyta Jiménez,8,466,95534,205.18,,FALSE
19,Monterrey,Cerralvo,9,1141,7757,6.8,,FALSE
19,Monterrey,China,10,102,10835,105.83,,FALSE
19,Monterrey,Ciénega de Flores,11,1007,42715,42.42,,FALSE
19,Monterrey,Doctor Arroyo,12,147,34110,232.74,,FALSE
19,Monterrey,Doctor Coss,13,4292,1632,0.38,,FALSE
19,Monterrey,Doctor González,14,5091,2861,0.56,,FALSE
19,Monterrey,El Carmen,15,721,38306,53.15,,FALSE
19,Monterrey,Galeana,16,616,41130,66.79,,FALSE
19,Monterrey,García,17,7011,247370,35.28,,FALSE
19,Monterrey,General Bravo,18,1040,5479,5.27,,FALSE
19,Monterrey,General Escobedo,19,72,425148,5904.01,,FALSE
19,Monterrey,General Terán,20,1895,14795,7.81,,FALSE
19,Monterrey,General Treviño,21,151,1044,6.9,,FALSE
19,Monterrey,General Zaragoza,22,2479,6011,2.42,,FALSE
19,Monterrey,General Zuazua,23,388,67294,173.42,,FALSE
19,Monterrey,Guadalupe,24,1315,682880,519.49,,FALSE
19,Monterrey,Hidalgo,25,185,13836,74.84,,FALSE
19,Monterrey,Higueras,26,118,1511,12.83,,FALSE
19,Monterrey,Hualahuises,27,497,6921,13.92,,FALSE
19,Monterrey,Iturbide,28,444,3571,8.04,,FALSE
19,Monterrey,Juárez,29,128,333481,2609.4,,FALSE
19,Monterrey,Lampazos de Naranjo,30,562,5238,9.32,,FALSE
19,Monterrey,Linares,31,247,79853,323.29,,FALSE
19,Monterrey,Los Aldamas,32,3429,1292,0.38,,FALSE
19,Monterrey,Los Herreras,33,2540,1764,0.69,,FALSE
19,Monterrey,Los Ramones,34,264,4469,16.91,,FALSE
19,Monterrey,Marín,35,208,5630,27.08,,FALSE
19,Monterrey,Melchor Ocampo,36,1007,955,0.95,,FALSE
19,Monterrey,Mier y Noriega,37,3872,6996,1.81,,FALSE
19,Monterrey,Mina,38,1869,5326,2.85,,FALSE
19,Monterrey,Montemorelos,39,892,60829,68.19,,FALSE
19,Monterrey,Monterrey,40,1173,1109171,945.86,,FALSE
19,Monterrey,Parás,41,309,971,3.14,,FALSE
19,Monterrey,Pesquería,42,1342,87168,64.97,,FALSE
19,Monterrey,Rayones,43,674,2640,3.92,,FALSE
19,Monterrey,Sabinas Hidalgo,44,1542,35456,22.99,,FALSE
19,Monterrey,Salinas Victoria,45,1658,54192,32.68,,FALSE
19,Monterrey,San Nicolás de los Garza,46,60,430143,7157.12,,FALSE
19,Monterrey,San Pedro Garza García,47,170,123156,723.94,,FALSE
19,Monterrey,Santa Catarina,48,885,296954,335.54,,FALSE
19,Monterrey,Santiago,49,746,42407,56.81,,FALSE
19,Monterrey,Vallecillo,50,1766,1632,0.92,,FALSE
19,Monterrey,Villaldama,51,880,4080,4.64,,FALSE
14,Guadalajara ,Acatic,1,339,21530,63.47,,FALSE
14,Guadalajara ,Acatlán de Juárez,2,153,22261,145.24,,FALSE
14,Guadalajara ,Ahualulco de Mercado,3,274,23362,85.23,,FALSE
